,index,Unnamed: 0,office_distance_from_house,bonus_salary_percentage,job_satisfaction,education_level,overtime_hour,company_latitude,company_longitude,gender,churn,state,label_state,label_education_level,cluster_office_distance_from_house,cluster_bonus_salary_percentage,cluster_job_satisfaction,cluster_overtime_hour
0,0,0,8511.0,42.51,1.0,bachelor/diploma,3.4165555692469733,33.30901411309222,-93.33034834047358,0,0,Arkansas,3,0,2,1,1,1
1,1,1,10090.0,57.48,2.0,bachelor/diploma,2.8971490995735194,37.67898264825746,-98.9680969271971,0,0,Kansas,11,0,0,2,1,0
2,2,2,18652.0,41.22,2.0,bachelor/diploma,3.1802643908000725,37.17589144673104,-77.44281165942165,1,1,Virginia,36,0,1,1,1,1
3,3,3,13392.0,63.57,3.0,bachelor/diploma,3.429648385259096,44.40808432819421,-85.70329634508505,0,0,Michigan,14,0,0,0,0,1
4,4,4,13356.0,46.16,2.0,bachelor/diploma,3.8122258862028087,41.45470190207284,-81.40465455217458,1,1,Ohio,25,0,0,2,1,1
5,5,5,8637.0,45.4,2.0,masters degree,2.957463950711993,34.64635948788193,-95.06668783220248,1,0,Oklahoma,26,3,2,2,1,0
6,6,6,10121.0,59.67,5.0,bachelor/diploma,2.166111951784395,48.3193473758944,-79.13918259930641,1,0,Québec,29,0,0,2,0,0
7,7,7,6416.0,81.34,2.0,bachelor/diploma,3.780238472660967,43.25415410555054,-102.2595998565706,1,0,South Dakota,31,0,2,0,1,1
8,8,8,13291.0,69.6,4.0,bachelor/diploma,3.3653012661003663,48.41564270359628,-81.38229099750447,1,0,Ontario,27,0,0,0,0,1
9,9,9,11873.0,46.46,4.0,masters degree,3.4736178835378992,37.75537100257871,-73.4105234052824,1,0,,36,3,0,2,0,1
10,10,10,12401.0,58.66,2.0,masters degree,3.585721760155926,38.517001392576745,-94.62211370802038,1,0,Kansas,11,3,0,2,1,1
11,11,11,10458.0,70.38,3.0,masters degree,3.5602812785620364,42.9233291896612,-93.72696821305244,0,0,Iowa,10,3,0,0,0,1
